country,2016_Q3,2016_Q4,2016 Net Cumulative,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2017 Net Cumulative,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2018 Net Cumulative,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2019 Net Cumulative ,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2020 Net Cumulative,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2021 Net Cumulative,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022 Net Cumulative,2023_Q1,2023_Q2,  2023_Q3  , 2023_Q4 ,2023 Net Cumulative,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2024 Net Cumulative
Indonesia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3178 ,  3178 ,  3178 ,  3178 ,3178,6745,6745,6745,  3567 
Iran,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  193 ,  193 ,  193 ,  193 ,  193 ,  193 ,  193 ,  -   ,  193 ,  193 ,  193 ,  193 ,  -   ,193,268,268,268,  75 
Ireland,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  8418 ,  8418 ,  8418 ,  8418 ,  8418 ,  8418 ,  -   ,8418,8418,8418,8418,  -   
Israel,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Italy,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  532 ,  532 ,  532 ,  532 ,  532 ,  532 ,  532 ,  532 ,  532 ,  -   ,  532 ,  532 ,  532 ,  532 ,  -   ,  532 ,  532 ,  3641 ,  5112 ,  4580 ,  5112 ,  7915 ,  7915 ,  7915 ,  2803 ,9055,11665,11675,11675,  3760 
Jamaica,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  50 ,  50 ,  50 ,  50 ,  50 ,  50 ,  -   ,  50 ,  50 ,  50 ,  50 ,  -   ,  91 ,  147 ,  211 ,  296 ,  246 ,356,437,515,515,  219 
Japan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  120 ,  -   ,  120 ,  120 ,  120 ,  120 ,  120 ,  120 ,  -   ,  120 ,  120 ,  120 ,  120 ,  -   ,  120 ,  120 ,  120 ,  120 ,  -   ,  120 ,  120 ,  120 ,  120 ,  -   ,  120 ,  120 ,  120 ,  120 ,  -   ,120,120,120,120,  -   
Kazakistan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  913 ,  913 ,  913 ,  913 ,913,7822,7822,7822,  6909 
Kenya,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  25400 ,  41259 ,  41259 ,  45600 ,  45600 ,  47707 ,  49814 ,  51921 ,  54027 ,  8427 ,  57863 ,  63000 ,  72027 ,  82886 ,  28859 ,  93621 ,  111242 ,  127904 ,  127904 ,  45018 ,  157571 ,  256321 ,  284617 ,  298455 ,  170551 ,  321622 ,  358310 ,  401012 ,  438003 ,  139548 ,481376,535986,544524,544524,  106521 
Kyrgyzstan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  7 ,  15 ,  32 ,  48 ,  48 ,  41 ,  99 ,  139 ,  204 ,  271 ,  223 ,  337 ,  447 ,  537 ,  641 ,  370 ,0,871,0,0,  (641)
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1010,1010,  1010 
Lao PDR,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  55 ,  95 ,  156 ,  156 ,  259 ,  259 ,  530 ,  615 ,  459 ,  714 ,  839 ,  1099 ,  1326 ,  711 ,1446,1562,1740,1740,  414 
Latvia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Lebanon,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  360 ,  360 ,  360 ,  360 ,  360 ,  360 ,  360 ,  360 ,  -   ,  360 ,  360 ,  360 ,  360 ,  -   ,  360 ,  360 ,  360 ,  360 ,  -   ,360,517,517,517,  157 
Lesotho,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2323 ,  4681 ,  4681 ,  8924 ,  8924 ,  15679 ,  15679 ,  21067 ,  21067 ,  12143 ,  21067 ,  21067 ,  28462 ,  32217 ,  11150 ,  35861 ,  40681 ,  46115 ,  54912 ,  22695 ,  63193 ,  79766 ,  83376 ,  82147 ,  27235 ,  91381 ,  103045 ,  112828 ,  121112 ,  38965 ,130538,141555,143335,143335,  22223 
Liechtenstein,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,17709,17709,  17709 
Liberia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  784 ,  1655 ,  1655 ,  2521 ,  5597 ,  7556 ,  9556 ,  7901 ,10087,12516,0,0,  (9556)
Lithuania,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10 ,  10 ,  10 ,  10 ,10,20,20,20,  10 
Luxembourg,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  96 ,  96 ,  96 ,  96 ,  96 ,  96 ,  96 ,  -   ,  118 ,  118 ,  118 ,  118 ,  22 ,  118 ,  118 ,  118 ,  118 ,  -   ,  118 ,  560 ,  560 ,  560 ,  442 ,560,560,560,560,  -   
Madagascar,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  459 ,  459 ,  459 ,  459 ,459,678,678,678,  219 
Malawi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  134 ,  144 ,  1060 ,  1060 ,  1060 ,  1090 ,  1090 ,  1183 ,  1279 ,  219 ,  1342 ,  1623 ,  3853 ,  6691 ,  5412 ,  14352 ,  20358 ,  29365 ,  37498 ,  30807 ,  47542 ,  62461 ,  83915 ,  107148 ,  69650 ,134563,157552,182980,183628,  76480 
Malaysia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  130 ,  130 ,  130 ,  130 ,  130 ,  130 ,  -   ,  130 ,  130 ,  130 ,  130 ,  -   ,  130 ,  130 ,  130 ,  130 ,  -   ,  130 ,  130 ,  130 ,  130 ,  -   ,  130 ,  130 ,  130 ,  130 ,  -   ,130,3451,3451,3634,  3504 
Maldives,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  1 ,  1 ,  1 ,1,1,1,1,  -   
Mali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  45 ,  45 ,  45 ,  133 ,  133 ,  200 ,  200 ,  200 ,  200 ,  67 ,  200 ,  200 ,  200 ,  200 ,  -   ,  200 ,  200 ,  200 ,  212 ,  12 ,  595 ,  733 ,  1460 ,  1847 ,  1635 ,  2891 ,  3543 ,  4072 ,  4508 ,  2661 ,5262,6334,8092,8092,  3584 
Malta,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  579 ,  579 ,  579 ,579,579,579,579,  -   
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,102,102,  102 
Mexico,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  699 ,  737 ,  737 ,  737 ,  737 ,  737 ,  737 ,  737 ,  737 ,  -   ,  3005 ,  3005 ,  3402 ,  3402 ,  2665 ,  3402 ,  3402 ,  3402 ,  3402 ,  -   ,  3402 ,  7594 ,  7594 ,  7594 ,  4192 ,7594,14380,14380,14380,  6786 
Moldova,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  192 ,  192 ,  192 ,  192 ,  192 ,  337 ,  337 ,  145 ,  337 ,  337 ,  492 ,  492 ,  155 ,  492 ,  492 ,  492 ,  492 ,  -   ,492,561,561,561,  69 
Mongolia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  139 ,  139 ,  139 ,  139 ,  139 ,  139 ,  139 ,  139 ,  -   ,  139 ,  139 ,  139 ,  139 ,  -   ,139,139,139,139,  -   
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,51,51,  51 
Morocco,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  323 ,  400 ,  400 ,  530 ,  530 ,  530 ,  592 ,  636 ,  774 ,  244 ,  774 ,  774 ,  774 ,  774 ,  -   ,  1031 ,  1135 ,  1135 ,  1135 ,  361 ,  1135 ,  1135 ,  1135 ,  1135 ,  -   ,  1135 ,  1135 ,  1135 ,  1135 ,  -   ,1135,1135,1135,1135,  -   
Mozambique,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  891 ,  1655 ,  1655 ,  2359 ,  2359 ,  3475 ,  3475 ,  5863 ,  5863 ,  3504 ,  7266 ,  7266 ,  11474 ,  18218 ,  12355 ,  23696 ,  32393 ,  43083 ,  61313 ,  43095 ,  76227 ,  96472 ,  117148 ,  142351 ,  81038 ,  171741 ,  206015 ,  244970 ,  291573 ,  149222 ,342167,390527,446318,446318,  154745 
Myanmar,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  178 ,  178 ,  387 ,  247 ,  634 ,  634 ,  456 ,  1779 ,  1779 ,  2863 ,  3556 ,  2922 ,  3791 ,  4146 ,  4850 ,  5505 ,  1949 ,6621,7453,8218,8218,  2713 
Namibia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1852 ,  3059 ,  3059 ,  5524 ,  5524 ,  10187 ,  10187 ,  16291 ,  18581 ,  13057 ,  18581 ,  18581 ,  23621 ,  30235 ,  11654 ,  33781 ,  38847 ,  44137 ,  48575 ,  18340 ,  52757 ,  58403 ,  62228 ,  68762 ,  20187 ,  75054 ,  82391 ,  88366 ,  93006 ,  24244 ,99093,107649,108559,108559,  15553 
Nepal,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  35 ,  103 ,  103 ,  103 ,  103 ,  103 ,  103 ,  103 ,  103 ,  -   ,  387 ,  1981 ,  2287 ,  3323 ,  3220 ,  4410 ,  6010 ,  7008 ,  10208 ,  6885 ,  10208 ,  10208 ,  10944 ,  11923 ,  1715 ,13404,14913,16119,16119,  4196 
Netherlands,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  361 ,  361 ,  361 ,  376 ,  376 ,  534 ,  626 ,  3561 ,  3561 ,  3185 ,  3561 ,  3561 ,  4755 ,  5916 ,  2355 ,  7542 ,  7542 ,  7542 ,  7542 ,  1626 ,  7542 ,  7542 ,  7542 ,  7542 ,  -   ,  7542 ,  9782 ,  9782 ,  9782 ,  2240 ,9782,9782,9782,9782,  -   
New Zealand,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  149 ,  149 ,  149 ,  1235 ,  1235 ,  1549 ,  2150 ,  2573 ,  2573 ,  1338 ,  2573 ,  2573 ,  2573 ,  2573 ,  -   ,  2573 ,  2912 ,  3760 ,  3760 ,  1187 ,  3760 ,  3760 ,  3760 ,  3760 ,  -   ,  3760 ,  4604 ,  4604 ,  4604 ,  844 ,4604,4604,4604,4604,  -   
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,196,196,196,  196 
Nigeria,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  459 ,  459 ,  459 ,  482 ,  482 ,  556 ,  556 ,  861 ,  861 ,  379 ,  861 ,  861 ,  3350 ,  31768 ,  30907 ,  49255 ,  85231 ,  124281 ,  173632 ,  141864 ,  223312 ,  276761 ,  342710 ,  401110 ,  227478 ,  440581 ,  494381 ,  543451 ,  543451 ,  142341 ,585349,641764,716654,716654,  173203 
North Macedonia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  88 ,  88 ,  88 ,  88 ,  88 ,  97 ,  9 ,  97 ,  109 ,  109 ,  127 ,  30 ,127,127,153,153,  26 
Northern Ireland,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Norway,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1150 ,  1150 ,  1150 ,  1150 ,  1150 ,  1150 ,  1150 ,  -   ,  1150 ,  1150 ,  1150 ,  1150 ,  -   ,  1150 ,  1150 ,  1150 ,  1150 ,  -   ,  1150 ,  1150 ,  1150 ,  1150 ,  -   ,1150,2437,2437,2437,  1287 
Pakistan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10 ,  10 ,  10 ,  10 ,  10 ,  10 ,  -   ,  10 ,  10 ,  10 ,  10 ,  -   ,  10 ,  180 ,  180 ,  180 ,  170 ,180,180,180,180,  -   
Panama,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  584 ,  1025 ,  1025 ,  1150 ,  1391 ,  1892 ,  2383 ,  1358 ,2677,3145,3542,3542,  1159 
Papua New Guinea,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10 ,  27 ,  60 ,  60 ,93,118,244,244,  184 
Paraguay,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  167 ,  167 ,  167 ,  167 ,  167 ,  329 ,  329 ,  162 ,  329 ,  329 ,  329 ,  329 ,  -   ,329,852,852,852,  523 
Peru,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  533 ,  1264 ,  1264 ,  1264 ,  1264 ,  1264 ,  1264 ,  1264 ,  1264 ,  -   ,  2265 ,  2265 ,  2931 ,  2931 ,  1667 ,  2931 ,  2931 ,  2931 ,  2931 ,  -   ,  2931 ,  2931 ,  2931 ,  2931 ,  -   ,2931,3088,4383,4383,  1452 
Philippines,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  242 ,  242 ,  242 ,  242 ,  242 ,  242 ,  250 ,  250 ,  250 ,  8 ,  250 ,  250 ,  250 ,  250 ,  -   ,  250 ,  250 ,  772 ,  1731 ,  1481 ,  3192 ,  4257 ,  6622 ,  8494 ,  6763 ,  10692 ,  13191 ,  18366 ,  20566 ,  12072 ,21316,24915,29747,29747,  9181 
Poland,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  600 ,  600 ,  2000 ,  2000 ,  2000 ,  2000 ,  1400 ,  2000 ,  2000 ,  2000 ,  2000 ,  -   ,  3750 ,  3750 ,  3750 ,  3750 ,  1750 ,  3750 ,  3750 ,  5000 ,  11000 ,  7250 ,  11000 ,  11000 ,  18005 ,  18005 ,  7005 ,18010,18010,18010,18010,  5 
Portugal,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6 ,  6 ,  6 ,  6 ,  6 ,  6 ,  6 ,  6 ,  6 ,  -   ,  6 ,  6 ,  6 ,  6 ,  -   ,  6 ,  6 ,  6 ,  6 ,  -   ,  6 ,  3967 ,  3967 ,  3967 ,  3961 ,3967,4499,4499,4499,  532 
Romania,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Rwanda,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2122 ,  2122 ,  2122 ,  2122 ,  2122 ,  2174 ,  2174 ,  3061 ,  3061 ,  939 ,  3061 ,  3061 ,  3790 ,  5038 ,  1977 ,  7793 ,  11207 ,  13461 ,  13809 ,  8771 ,  15013 ,  17884 ,  19380 ,  21239 ,  7430 ,  23181 ,  26789 ,  29729 ,  32422 ,  11183 ,34787,37271,37541,37541,  5119 
Saint Lucia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 ,  3 ,  3 ,  3 ,  3 ,  3 ,  3 ,  -   ,  3 ,  3 ,  3 ,  3 ,  -   ,3,3,3,3,  -   
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,  -   
Scotland,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  400 ,  400 ,  400 ,  400 ,  400 ,  400 ,  1872 ,  1872 ,  3354 ,  2954 ,  3354 ,  3354 ,  3354 ,  3354 ,  -   ,  3354 ,  3354 ,  3354 ,  3354 ,  -   ,  3354 ,  3354 ,  3354 ,  3354 ,  -   ,  3354 ,  3354 ,  3354 ,  8824 ,  5470 ,8824,8824,10101,10101,  1277 
Senegal,  267 ,  267 ,  267 ,  267 ,  267 ,  267 ,  267 ,  -   ,  267 ,  267 ,  267 ,  267 ,  -   ,  267 ,  267 ,  267 ,  267 ,  -   ,  267 ,  267 ,  267 ,  267 ,  -   ,  267 ,  267 ,  267 ,  267 ,  -   ,  471 ,  477 ,  600 ,  699 ,  432 ,  813 ,  4032 ,  4032 ,  4032 ,  3333 ,4032,4445,4445,4445,  413 
Serbia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Seychelles,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 ,  3 ,  3 ,  3 ,  3 ,  3 ,  3 ,  -   ,  3 ,  3 ,  3 ,  3 ,  -   ,  3 ,  5 ,  5 ,  5 ,  2 ,5,5,5,5,  -   
Sierra Leone,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  367 ,  1308 ,  1308 ,  1308 ,  1308 ,  3292 ,  5805 ,  4497 ,  7632 ,  8700 ,  9729 ,  10756 ,  4951 ,11562,13063,14309,14309,  3553 
Singapore,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Slovakia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Slovenia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  280 ,  280 ,  280 ,  210 ,280,550,550,550,  270 
South Africa,  380 ,  380 ,  380 ,  380 ,  380 ,  380 ,  380 ,  -   ,  5094 ,  6720 ,  6720 ,  12560 ,  12180 ,  18068 ,  28745 ,  41421 ,  58136 ,  45576 ,  68695 ,  69876 ,  88851 ,  164538 ,  106402 ,  164538 ,  210756 ,  370195 ,  370195 ,  205657 ,  415658 ,  530378 ,  569977 ,  792434 ,  422239 ,  888217 ,  888217 ,  1175293 ,  1322867 ,  530433 ,1322867,1322867,1337133,1795844,  472977 
South Korea,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
South Sudan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  153 ,  702 ,  1484 ,  1838 ,  1838 ,2230,2879,3225,3225,  1387 
Spain,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  600 ,  600 ,  600 ,  1285 ,  1285 ,  1362 ,  1362 ,  1362 ,  1700 ,  415 ,  1700 ,  1873 ,  2153 ,  2153 ,  453 ,  2493 ,  2623 ,  2673 ,  2887 ,  734 ,  2887 ,  2887 ,  2887 ,  2887 ,  -   ,  4002 ,  18000 ,  18000 ,  18000 ,  15113 ,18000,23600,23600,28880,  10880 
